Name,Message Size (Bytes),Sleep Time (ms),Concurrent Users,M * C,M * S,S * C,M * S * C,M / C,M / S,C / M,C / S,S / M,S / C,M / S * C,S / M * C,C / M * S,1 / M * C * S,Extra,Extra,# Samples,Error Count,Error %,Average (ms),Min (ms),Max (ms),90th Percentile (ms),95th Percentile (ms),99th Percentile (ms),Throughput,Received (KB/sec),Sent (KB/sec),API Manager GC Throughput (%),API Manager Footprint (M),API Manager Average of Footprint After Full GC (M),API Manager Standard Deviation of Footprint After Full GC (M),Netty Service GC Throughput (%),Netty Service Footprint (M),Netty Service Average of Footprint After Full GC (M),Netty Service Standard Deviation of Footprint After Full GC (M),JMeter Client GC Throughput (%),JMeter Client Footprint (M),JMeter Client Average of Footprint After Full GC (M),JMeter Client Standard Deviation of Footprint After Full GC (M),JMeter Server 01 GC Throughput (%),JMeter Server 01 Footprint (M),JMeter Server 01 Average of Footprint After Full GC (M),JMeter Server 01 Standard Deviation of Footprint After Full GC (M),JMeter Server 02 GC Throughput (%),JMeter Server 02 Footprint (M),JMeter Server 02 Average of Footprint After Full GC (M),JMeter Server 02 Standard Deviation of Footprint After Full GC (M),API Manager Load Average - Last 1 minute,API Manager Load Average - Last 5 minutes,API Manager Load Average - Last 15 minutes,Netty Service Load Average - Last 1 minute,Netty Service Load Average - Last 5 minutes,Netty Service Load Average - Last 15 minutes,JMeter Client Load Average - Last 1 minute,JMeter Client Load Average - Last 5 minutes,JMeter Client Load Average - Last 15 minutes,JMeter Server 01 Load Average - Last 1 minute,JMeter Server 01 Load Average - Last 5 minutes,JMeter Server 01 Load Average - Last 15 minutes,JMeter Server 02 Load Average - Last 1 minute,JMeter Server 02 Load Average - Last 5 minutes,JMeter Server 02 Load Average - Last 15 minutes
Echo API,50,500,300,15000,25000,150000,7500000,0.1666666667,0.1,6,0.6,10,1.666666667,0.0003333333,0.0333333333,0.012,1.33E-07,0,0,358202,0,0,502.16,501,797,502,503,506,596.8,222.05,171.35,99.22,3958.5,103.4,65.66,99.96,3925.5,,,99.15,2048,,,99.95,4096,13.3,2751.35,99.95,4096,13.3,2751.35,0.56,0.74,1.08,0.09,0.02,0.01,0,0,0,,,,,,
Echo API,50,500,1000,50000,25000,500000,25000000,0.05,0.1,20,2,10,0.5,0.0001,0.01,0.04,0.00000004,0,0,1176300,0,0,509.05,501,1662,532,561,640,1962.96,730.36,563.58,97.29,3987,349.83,338.3,99.93,3925.5,,,99.38,2048,,,99.83,4096,27.05,22.13,99.83,4096,27.15,22.27,2.17,2.18,1.85,0.01,0.05,0.01,0.05,0.04,0.01,,,,,,
Echo API,50,1000,100,5000,50000,100000,5000000,0.5,0.05,2,0.1,20,10,0.0005,0.2,0.002,0.0000002,0,0,59884,0,0,1001.95,1001,1406,1002,1003,1004,99.68,37.09,28.62,99.62,3925.5,99.44,88.61,0,3925.5,,,96.35,2048,,,99.96,4096,13,2316.48,99.96,4096,12.95,2244.36,0.09,0.59,2.27,0,0,0.03,0,0.03,0.07,,,,,,
Echo API,50,1000,300,15000,50000,300000,15000000,0.1666666667,0.05,6,0.3,20,3.333333333,0.0001666667,0.0666666667,0.006,6.67E-08,0,0,179400,0,0,1001.92,1001,1209,1002,1003,1006,299.03,111.26,85.85,99.46,3936.5,102.58,67.39,99.98,3925.5,,,98.93,2048,,,99.93,4096,18.3,9992.13,99.92,4096,18.3,9992.13,0.06,0.34,0.65,0,0.02,0,0.06,0.02,0,,,,,,
Echo API,50,1000,1000,50000,50000,1000000,50000000,0.05,0.05,20,1,20,1,0.00005,0.02,0.02,0.00000002,0,0,596358,0,0,1004.3,1001,1427,1008,1016,1089.99,994,369.84,285.39,98.59,3925.5,98.86,64.15,99.95,3925.5,,,99.24,2048,,,99.9,4096,23.4,16.97,99.88,4096,26.65,21.57,1.6,1.11,0.87,0,0.02,0,0,0.03,0.01,,,,,,
Echo API,50,1000,2000,100000,50000,2000000,100000000,0.025,0.05,40,2,20,0.5,0.000025,0.01,0.04,0.000000282,0,0,1176590,0,0,1017.8,1001,3256,1030,1048,1145,1959.43,729.05,562.57,96.99,3976,503.8,485.39,99.9,3925.5,,,99.45,2048,,,99.82,4096,35.45,34.01,99.81,4096,36.6,35.64,2.43,2.79,2.16,0.08,0.11,0.05,0.02,0.03,0.01,,,,,,
Echo API,1024,0,100,102400,0,0,0,10.24,119.6419326,0.09765625,7.576029963,0,0,0.6653710129,0,0.0496333933,0.000000282,0,0,2945715,0,0,20.27,1,2051,36,50,151,4910.65,6502.78,6090.36,93.66,4010,523.4,335.41,99.96,3925.5,,,99.67,2048,,,99.79,4096,12.2,1158.24,99.77,4096,14.5,4488.71,3.04,8.06,6.86,0,0.04,0.02,0.81,0.32,0.17,,,,,,
Echo API,1024,0,200,204800,0,0,0,5.12,119.6419326,0.1953125,7.576029963,0,0,0.6653710129,0,0.0496333933,0.000000282,0,0,3105098,0,0,38.52,1,3311,70,99,186.99,5177.29,6855.87,6421.06,93.89,4011.5,525.12,316.19,99.95,3925.5,,,99.67,2048,,,99.75,4096,16.75,7747.06,99.77,4096,13,2316.48,12.01,11.71,9.33,0.28,0.22,0.12,0.1,0.11,0.14,,,,,,
Echo API,1024,0,1000,1024000,0,0,0,1.024,119.6419326,0.9765625,7.576029963,0,0,0.6653710129,0,0.0496333933,0.000000282,0,0,3042729,0,0,196.75,2,9924,365,435,608,5077.8,6724.12,6297.66,92.54,4007,725.24,427.45,99.91,3925.5,,,99.65,2048,,,99.73,4096,22.7,15.98,99.7,4096,26.75,21.71,17.32,15.93,12.99,0.57,0.35,0.28,0.04,0.1,0.15,,,,,,
Echo API,1024,0,2000,2048000,0,0,0,0.512,119.6419326,1.953125,7.576029963,0,0,0.6653710129,0,0.0496333933,0.000000282,0,0,3002434,0,0,399.04,8,3822,624,683,788,5007.39,6630.88,6210.33,92.77,3991,759.17,438.17,99.87,3925.5,,,99.68,2048,,,99.64,4096,36.1,34.93,99.63,4096,35.65,34.3,13.67,15.24,13.88,0.36,0.48,0.36,0.06,0.1,0.16,,,,,,
Echo API,1024,30,100,102400,30720,3000,3072000,10.24,34.13333333,0.09765625,3.333333333,0.029296875,0.3,0.3413333333,0.0002929688,0.0032552083,3.26E-07,0,0,1750177,0,0,34.19,31,1137,36,39,146,2917.6,3863.55,3618.51,96.34,4001.5,389.24,296.75,99.96,3925.5,,,99.49,2048,,,99.88,4096,15.75,6298.91,99.87,4096,10.7,1013.99,5.85,4.74,6.78,0.07,0.07,0.13,0.05,0.07,0.12,,,,,,
Echo API,1024,30,300,307200,30720,9000,9216000,3.413333333,34.13333333,0.29296875,10,0.029296875,0.1,0.1137777778,9.77E-05,0.009765625,1.09E-07,0,0,2847884,0,0,63.04,31,1981,87,105,206.99,4749.29,6289.1,5890.23,94.76,4008,516.72,328.86,99.95,3925.5,,,99.66,2048,,,99.8,4096,13.05,2389.31,99.78,4096,15,5212.79,10.86,10.42,8.85,0.31,0.37,0.27,0,0.05,0.1,,,,,,
Echo API,1024,30,1000,1024000,30720,30000,30720000,1.024,34.13333333,0.9765625,33.33333333,0.029296875,0.03,0.0341333333,2.93E-05,0.0325520833,3.26E-08,0,0,3018956,0,0,198.5,35,2921,282,329,421,5033.33,6665.23,6242.51,92.5,4007,746.14,445.89,99.9,3925.5,,,99.68,2048,,,99.73,4096,22.25,15.34,99.73,4096,22.15,15.2,14.98,14.63,11.85,0.46,0.39,0.29,0.03,0.07,0.1,,,,,,
Echo API,1024,30,2000,2048000,30720,60000,61440000,0.512,34.13333333,1.953125,66.66666667,0.029296875,0.015,0.0170666667,1.46E-05,0.0651041667,1.63E-08,0,0,2987323,0,0,401.32,41,7321,652,721,926.99,4979.11,6593.43,6175.27,92.39,3989.5,746.63,436.55,99.87,3925.5,,,99.67,2048,,,99.65,4096,35.9,34.65,99.64,4096,35.05,33.45,14.62,15.63,13.51,0.48,0.51,0.43,0.03,0.07,0.12,,,,,,
Echo API,1024,500,100,102400,512000,50000,51200000,10.24,2.048,0.09765625,0.2,0.48828125,5,0.02048,0.0048828125,0.0001953125,1.95E-08,0,0,119470,0,0,501.94,501,703,503,504,510,199.01,263.53,246.82,99.56,3925.5,87,64.65,0,3925.5,,,98.73,2048,,,99.96,4096,12.1,1013.28,99.96,4096,12.05,941.16,0.06,0.48,4.09,0,0,0.1,0.38,0.09,0.1,,,,,,
Echo API,1024,500,200,204800,512000,100000,102400000,5.12,2.048,0.1953125,0.4,0.48828125,2.5,0.01024,0.0024414063,0.000390625,9.77E-09,0,0,238915,0,0,502.11,501,707,502,503,505,397.95,526.97,493.55,99.43,3970.5,111.75,72.86,99.96,3925.5,,,98.93,2048,,,99.93,4096,16.4,7240.77,99.93,4096,16.4,7240.77,0.52,0.4,1.83,0,0,0.03,0,0,0.02,,,,,,
Echo API,1024,500,300,307200,512000,150000,153600000,3.413333333,2.048,0.29296875,0.6,0.48828125,1.666666667,0.0068266667,0.0016276042,0.0005859375,6.51E-09,0,0,357422,0,0,502.36,501,1161,503,504,515,596.5,789.9,739.8,99.2,3954,115.56,84.15,99.97,3925.5,,,99,2048,,,99.93,4096,16,6660.95,99.93,4096,15.9,6516.7,0.87,0.91,1.26,0,0,0,0.04,0.03,0,,,,,,
Echo API,1024,500,2000,2048000,512000,1000000,1024000000,0.512,2.048,1.953125,4,0.48828125,0.25,0.001024,0.0002441406,0.00390625,0.000000001,0,0,2173499,0,0,550.93,501,2670,646,691,740,3624.7,4799.89,4495.47,94.61,3982.5,686.86,462.75,99.87,3925.5,,,99.57,2048,,,99.72,4096,35.45,34.01,99.7,4096,35.6,34.22,8.63,7.72,5.27,0.13,0.2,0.12,0,0.04,0.05,,,,,,
Echo API,1024,1000,100,102400,1024000,100000,102400000,10.24,1.024,0.09765625,0.1,0.9765625,10,0.01024,0.009765625,9.77E-05,9.77E-09,0,0,59878,0,0,1001.91,1001,2163,1002,1003,1004,99.69,132.01,123.64,99.61,3948,97.65,80.25,0,3925.5,,,96.02,2048,,,99.96,4096,13.2,2606.4,99.96,4096,13.35,2823.48,0.03,0.37,1.97,0,0,0.01,0,0.02,0.06,,,,,,
Echo API,1024,1000,200,204800,1024000,200000,204800000,5.12,1.024,0.1953125,0.2,0.9765625,5,0.00512,0.0048828125,0.0001953125,4.88E-09,0,0,119647,0,0,1002.01,1001,1204,1003,1004,1011,199.15,263.72,247,99.56,3925.5,98.78,64.45,99.98,3925.5,,,98.61,2048,,,99.96,4096,13.2,2606.4,99.95,4096,13.9,3620.39,0.01,0.21,0.97,0,0,0,0.07,0.03,0.02,,,,,,
Echo API,1024,1000,300,307200,1024000,300000,307200000,3.413333333,1.024,0.29296875,0.3,0.9765625,3.333333333,0.0034133333,0.0032552083,0.0002929688,3.26E-09,0,0,179618,0,0,1002,1001,1364,1002,1003,1006,298.89,395.8,370.69,99.45,3964.5,113.91,75.4,99.97,3925.5,,,98.9,2048,,,99.96,4096,13.75,3402.6,99.96,4096,13.9,3620.39,2.02,1.07,1,0,0,0,0,0,0,,,,,,
Echo API,1024,1000,1000,1024000,1024000,1000000,1024000000,1.024,1.024,0.9765625,1,0.9765625,1,0.001024,0.0009765625,0.0009765625,0.000000001,0,0,595558,0,0,1005.3,1001,1224,1008,1012,1081.99,993.22,1315.25,1231.83,98.6,3925.5,103.14,64.52,99.95,3925.5,,,99.28,2048,,,99.91,4096,21.9,14.85,99.91,4096,21.8,14.71,1.31,1.27,1.1,0.02,0.03,0,0,0.01,0,,,,,,
Echo API,10240,0,100,1024000,0,0,0,102.4,119.6419326,0.009765625,7.576029963,0,0,0.6653710129,0,0.0496333933,0.000000282,0,0,1966915,0,0,30.39,1,1508,53,64,128.99,3278.32,33871.75,33573.94,95.94,4018,382.34,271.58,99.95,4026,,,99.59,2048,,,99.85,4096,10.8,869.03,99.84,4096,11.6,289.21,10.51,9.73,6.88,0.06,0.08,0.06,0.09,0.06,0.05,,,,,,
Echo API,10240,0,200,2048000,0,0,0,51.2,119.6419326,0.01953125,7.576029963,0,0,0.6653710129,0,0.0496333933,0.000000282,0,0,1935097,0,0,61.8,2,1849,108,135,199,3228.57,33357.82,33064.44,95.82,4016.5,403.52,292.64,99.95,4024.5,,,99.6,2048,,,99.83,4096,13.05,2389.31,99.82,4096,13.55,3113.39,12.85,11.17,8.77,0.09,0.14,0.1,0.04,0.07,0.09,,,,,,
Echo API,10240,0,300,3072000,0,0,0,34.13333333,119.6419326,0.029296875,7.576029963,0,0,0.6653710129,0,0.0496333933,0.000000282,0,0,1963564,0,0,91.5,1,4068,153,191,248.99,3273.21,33819.08,33521.6,96.04,4015,431.14,308.42,99.94,4032.5,,,99.58,2048,,,99.83,4096,13.55,3113.39,99.82,4096,13.85,3547.56,12.14,11.35,9.89,0.11,0.25,0.18,0.01,0.04,0.08,,,,,,
Echo API,10240,0,2000,20480000,0,0,0,5.12,119.6419326,0.1953125,7.576029963,0,0,0.6653710129,0,0.0496333933,0.000000282,0,0,1877016,0,0,637.33,111,2868,846,923,1138.99,3134.05,32381.12,32096.45,95.18,4002.5,703.74,505.73,99.88,4015.5,,,99.57,2048,,,99.67,4096,33.9,31.82,99.65,4096,35.85,34.58,5.65,10.64,10.66,0.21,0.65,0.54,0.5,0.17,0.12,,,,,,
Echo API,10240,30,200,2048000,307200,6000,61440000,51.2,341.3333333,0.01953125,6.666666667,0.0029296875,0.15,1.706666667,1.46E-05,0.0006510417,1.63E-08,0,0,1865348,0,0,64.2,32,1676,94,112,206,3109.07,32123.28,31840.68,96,4015,434.6,328.07,99.95,4024.5,,,99.59,2048,,,99.83,4096,13.65,3258.35,99.82,4096,13.5,3040.56,9.45,8.83,7.99,0.36,0.33,0.27,0.04,0.08,0.08,,,,,,
Echo API,10240,30,300,3072000,307200,9000,92160000,34.13333333,341.3333333,0.029296875,10,0.0029296875,0.1,1.137777778,9.77E-06,0.0009765625,1.09E-08,0,0,1937483,0,0,92.73,32,1812,149,187.95,258,3229.74,33370,33076.41,95.86,4015.5,399.85,288.79,99.94,4022,,,99.54,2048,,,99.82,4096,14.55,4561.55,99.82,4096,14.15,3982.43,1.93,7.72,8.46,0.05,0.23,0.25,0.93,0.38,0.2,,,,,,
Echo API,10240,30,1000,10240000,307200,30000,307200000,10.24,341.3333333,0.09765625,33.33333333,0.0029296875,0.03,0.3413333333,2.93E-06,0.0032552083,3.26E-09,0,0,1908451,0,0,313.77,57,3038,454,503,593,3184.29,32900.34,32611,95.62,4007,543.68,404.46,99.89,4018.5,,,99.53,2048,,,99.76,4096,22.25,15.34,99.76,4096,23.15,16.62,11.97,12.1,10.36,0.84,0.55,0.36,0.1,0.08,0.09,,,,,,
Echo API,10240,30,2000,20480000,307200,60000,614400000,5.12,341.3333333,0.1953125,66.66666667,0.0029296875,0.015,0.1706666667,1.46E-06,0.0065104167,1.63E-09,0,0,1882710,0,0,634.79,145,4308,851,923,1036,3146.72,32512.09,32226.26,95.3,4002,593.08,437.32,99.87,4025.5,,,99.51,2048,,,99.66,4096,35.45,34.01,99.67,4096,34.2,32.24,12.44,12.01,10.74,0.72,0.73,0.51,0,0.01,0.06,,,,,,
Echo API,10240,500,100,1024000,5120000,50000,512000000,102.4,20.48,0.009765625,0.2,0.048828125,5,0.2048,0.0004882813,1.95E-05,0.000000002,0,0,119306,0,0,502.53,501,715,503,504,510,198.84,2054.39,2036.33,99.54,3925.5,103.41,63.64,99.98,3925.5,,,98.37,2048,,,99.97,4096,10.75,941.87,99.97,4096,10.6,1162.48,0.37,1.03,4.41,0,0.03,0.18,0.03,0.04,0.07,,,,,,
Echo API,10240,500,200,2048000,5120000,100000,1024000000,51.2,20.48,0.01953125,0.4,0.048828125,2.5,0.1024,0.0002441406,3.91E-05,0.000000001,0,0,238661,0,0,502.72,501,718,504,505,515,397.48,4106.79,4070.68,99.38,3979,102.96,64.55,99.97,3925.5,,,98.92,2048,,,99.94,4096,13.5,3040.56,99.95,4096,12.85,2099.4,0.43,0.7,2.15,0,0,0.05,0,0.01,0.03,,,,,,
Echo API,10240,500,1000,10240000,5120000,500000,5120000000,10.24,20.48,0.09765625,2,0.048828125,0.5,0.02048,4.88E-05,0.0001953125,1.95E-10,0,0,1152030,0,0,519.54,501,1980,551,579,649,1922.47,19863.17,19688.38,97.18,4003,417.1,387.25,99.9,3933.5,,,99.43,2048,,,99.84,4096,21.85,14.78,99.83,4096,21.9,14.85,1.57,2.99,2.75,0,0.06,0.04,0.82,0.26,0.09,,,,,,
Echo API,10240,500,2000,20480000,5120000,1000000,10240000000,5.12,20.48,0.1953125,4,0.048828125,0.25,0.01024,2.44E-05,0.000390625,0,0,0,1788401,0,0,670.04,502,2659,911,955,1052,2979.67,30786.45,30515.43,95.17,3994.5,571.65,425.14,99.82,4025,,,99.57,2048,,,99.69,4096,33.65,31.47,99.69,4096,35.05,33.45,10.94,10.04,7.09,0.29,0.3,0.19,0.02,0.05,0.06,,,,,,
Echo API,10240,1000,100,1024000,10240000,100000,1024000000,102.4,10.24,0.009765625,0.1,0.09765625,10,0.1024,0.0009765625,9.77E-06,0.000000001,0,0,59834,0,0,1002.29,1001,1274,1003,1003,1004,99.6,1029.1,1020.05,99.61,3925.5,101.28,64.5,99.98,3925.5,,,96.91,2048,,,99.97,4096,11.5,144.25,99.97,4096,11.55,217.08,0.16,0.85,3.26,0,0.01,0.06,0,0.02,0.06,,,,,,
Echo API,10240,1000,300,3072000,10240000,300000,3072000000,34.13333333,10.24,0.029296875,0.3,0.09765625,3.333333333,0.0341333333,0.0003255208,2.93E-05,3.26E-10,0,0,179441,0,0,1002.43,1001,1308,1003,1003,1006,298.78,3087.05,3059.91,99.43,3971.5,102.83,66.1,99.97,3925.5,,,98.95,2048,,,99.96,4096,12.95,2244.36,99.96,4096,12.95,2244.36,0.22,0.5,0.85,0.01,0.01,0,0,0,0,,,,,,
Echo API,10240,1000,1000,10240000,10240000,1000000,10240000000,10.24,10.24,0.09765625,1,0.09765625,1,0.01024,9.77E-05,9.77E-05,0,0,0,595947,0,0,1005.94,1001,1223,1009,1014,1036.99,992.11,10250.59,10160.41,98.43,3925.5,98.76,65.23,99.92,3925.5,,,99.31,2048,,,99.87,4096,23.65,17.32,99.87,4096,23.6,17.25,2.14,1.64,1.27,0,0.03,0,0.05,0.04,0,,,,,,
Echo API,10240,1000,2000,20480000,10240000,2000000,20480000000,5.12,10.24,0.1953125,2,0.09765625,0.5,0.00512,4.88E-05,0.0001953125,0,0,0,1163263,0,0,1028.76,1001,3225,1129,1186,1268.99,1940.8,20052.73,19876.17,96.88,3994.5,512.33,486.05,99.84,3939,,,99.43,2048,,,99.77,4096,33.45,31.18,99.75,4096,35.4,33.94,5.07,4.73,3.45,0.02,0.09,0.07,0.02,0.01,0,,,,,,
Echo API,102400,0,100,10240000,0,0,0,1024,119.6419326,0.0009765625,7.576029963,0,0,0.6653710129,0,0.0496333933,0.000000282,0,0,249613,0,0,240.06,6,13823,425,627,1082.97,415.41,41725.03,41641.29,98.87,4002,102.8,64.97,99.95,4036,,,99.04,2048,,,99.93,4096,10.75,941.87,99.94,4096,10.45,1377.44,5.22,5.04,4.25,0.07,0.06,0.05,0,0.02,0.04,,,,,,
Echo API,102400,0,200,20480000,0,0,0,512,119.6419326,0.001953125,7.576029963,0,0,0.6653710129,0,0.0496333933,0.000000282,0,0,248833,0,0,481.26,32,60115,797,1058,2204,414.49,41632.99,41549.13,98.81,3998.5,105.83,66.3,99.94,4034,,,98.93,2048,,,99.92,4096,11.7,434.16,99.92,4096,11.9,724.08,5.11,5.17,4.84,0.29,0.19,0.11,0,0,0,,,,,,
Echo API,102400,30,100,10240000,3072000,3000,307200000,1024,3413.333333,0.0009765625,3.333333333,0.0002929688,0.3,34.13333333,2.93E-06,3.26E-05,3.26E-09,0,0,249652,0,0,240.08,39,7047,417,602.95,1006.98,415.53,41736.66,41653.48,98.87,4002,102.62,63.83,99.94,4036,,,98.91,2048,,,99.94,4096,10.4,1446.03,99.93,4096,10.8,869.03,4.92,4.84,4.06,0.04,0.08,0.08,0,0,0,,,,,,
Echo API,102400,30,300,30720000,3072000,9000,921600000,341.3333333,3413.333333,0.0029296875,10,0.0002929688,0.1,11.37777778,9.77E-07,9.77E-05,1.09E-09,0,0,248208,12,0,723.31,39,76275,1055,1517.95,7613.13,408.12,40990.44,40909.72,98.8,4006.5,98.22,84.27,99.94,4032.5,,,98.97,2048,,,99.91,4096,13.15,2534.27,99.91,4096,13.15,2534.27,5.06,5.17,4.92,0.05,0.1,0.09,0,0,0,,,,,,
Echo API,102400,500,200,20480000,51200000,100000,10240000000,512,204.8,0.001953125,0.4,0.0048828125,2.5,1.024,2.44E-05,3.91E-06,0,0,0,234280,0,0,511.82,504,752,525,537,566,390.24,39189.74,39118.87,99.1,3999,104.86,66.16,99.95,4024,,,98.87,2048,,,99.93,4096,11.9,724.08,99.93,4096,11.75,506.29,1.07,2.17,2.2,0.01,0.04,0,0.05,0.01,0,,,,,,
Echo API,102400,500,300,30720000,51200000,150000,15360000000,341.3333333,204.8,0.0029296875,0.6,0.0048828125,1.666666667,0.6826666667,0.000016276,5.86E-06,0,0,0,248723,0,0,722.79,505,7774,927,1152.95,1698.96,414.34,41616.38,41534.15,98.85,3996.5,101.53,66.34,99.93,4031,,,99.03,2048,,,99.91,4096,13.15,2534.27,99.91,4096,12.95,2244.36,5.07,4.98,3.96,0.13,0.09,0.02,0,0,0,,,,,,
